type,attribute1,attribute2,attribute3,attribute4,attribute5,attribute6,attribute7,attribute8
Michael,White long stick,Brownness deer ear,Yellow green black round eye,Violet shoulder length hair,Red heart shaped mouth,Violet short nose,Red trident,Golden six wings
Haniel,Green pendant,Deep yellow long ear,Light yellow orange black round eye,Dark red points in the temples hair,Small orange mouth,Deep orange long nose,Golden preious stone necklace,Cyan wing
Danae,Yellow blue cat head band,Violet short ear,Green black phonix eye,Violet points in the temples hair,Red mouth,Light red  pointed nose,Yellow ellipse truncheon,Cyan four winged
Ambiel,Violet butterfly head band,Orange bar type ear,Yellow green black perch blossom eye,White waves hair,Deep red oval mouth,Light brownness round nose,Cyan saint sword,White six wings
Felicia,Cyan crown,Brownness rabbit ear,Cyan black litchi eye,Black shawls hair,Red heart shaped mouth,Green round nose,Cyan butterfly pattern necklace,White wing
Felicia,Yellow earrings,Deep red rabbit ear,Cyan black litchi eye,Dark red the vertical bun hair,Deep red oval mouth,Green pointed nose,Cyan preious stone necklace,White six wings
Asmodel,Light cyan wing cloak,Deep yellow  bar type ear,Light orange black phonix eye,Violet braid hair,Red mouth,Orange aquiline nose,Cyan trident,Cyan wing
Barbiel,Cyan crown,Light red short ear,Yellow brownness black round eye,Dark red arc bangs wave hair,Deep red oval mouth,Deep orange aquiline nose,Cyan white ellipse truncheon,Golden four winged
Cassiel,Red long stick,Light red long ear,Orange narrow eye,Violet arc bangs wave hair,Deep red rectangle mouth,Pink long nose,Blue triangle necklace,Violet six wings
Michael,Yellow cyan earrings,Deep yellow long ear,Gray black willow eye,Black the points bang waves  hair,Deep red mouth,Black round nose,Cyan ellipse truncheon,Violet wing
Adnachiel,Yellow helmet,Violet cat ear,Deep brownness black round eye,Brownness points in the temples hair,Yellow mouth,Violet aquiline nose,Cyan ellipse truncheon,Golden six wings
Malahidiel,Cyan long stick,Green rabbit ear,Yellow brownness black round eye,Black arc bangs wave hair ,Orange round mouth,Cyan short nose,Cyan shield,Violet six wings
Zuriel,Violet wing cloak,Orange rabbit ear,Yellow cyan  black perch blossom eye,Brownness shoulder length hair,Deep red mouth,Red short nose,White semicircle truncheon,Golden six wings
Barbiel,Red helmet,Cyan rabbit ear,Deep black litchi eye,Violet long hair,Violet round mouth,Black pointed nose,Golden ellipse truncheon,Golden six wings
Haniel,Green necklace,Brownnesself ear,Cyan black long and thin eye,Black arc bangs wave hair ,Orange heart shaped mouth,Red long nose,White saint sword,Violet six wings
Cassiel,Blue necklace,Violet long ear,Yellow brownness black perch blossom eye,Dark red short voume hair,Deep red round mouth,Brownness round nose,Golden dress cross necklace,Black  six wings
Felicia,Cyan pendant,Green short ear,Yellow orang lifting eye,Dark red the curly hair,Yellow mouth,Cyan short nose,Golden spear,White two wing
Barbiel,Cyan  hair clasp,Light black cat ear,Cyan black phonix eye,Green side swept fringe waves  hair,Black rectangle mouth,Deep blue short nose,Cyan golden ellipse truncheon ,
Haniel,White violet cat head band,Green long ear,Deep cyan black lifting eye,Green braid hair,Red heart shaped mouth,Cyan aquiline nose,Red shield,White six wings
Manuel,Cyan black cat head band,Deep yellow  bar type ear,Yellow red black perch blossom eye,Cyan waves hair,Light yellow heart shaped mouth,Deep blue long nose,Blue saint sword,Cyan two wing
Haniel,Green belt,Deep red long ear,Yellow orange black round eye,Black arc bangs wave hair ,Deep red mouth,Black short nose,Yellow ellipse truncheon,
Barbiel,Green round earring,Light black deer ear,Deep red lifting eye,Dark red shoulder length hair,Black rectangle mouth,Deep orange pointed nose,White semicircle truncheon,Violet six wings
Haniel,Green belt,Blue triangle ear,Yellow brownness black perch blossom eye,Golden braid hair,Viole heart shaped mouth,Blue short nose,Blue clothing,Violet wing
Manuel,Yellow black,Blue cat ear,Yellow orange black round eye,Dark red points in the temples hair,Viole heart shaped mouth,Dark red round nose,Blue butterfly pattern necklace,Cyan two wing
Malahidiel,Blue black,Orange rabbit ear,Green  black willow eye,White waves hair,Orange heart shaped mouth,Black long nose,Cyan saint sword,
Asmodel,Cyan bar necklace,Light black  bar type ear,Cyan blue black rui cheng eye,Dark red the vertical bun hair,Orange mouth,Violet aquiline nose,Golden semicircle truncheon,White four winged
Michael,Green necklace,Deep red short ear,Yellow orange black round eye,Violet the points bang waves  hair,Black rectangle mouth,Deep orange long nose,White V necklace,Violet two wing
Asmodel,Blue bar necklace,Light black elf ear,Yellow orang lifting eye,Brownness shawls hair,Yellow mouth,Deep red short nose,Cyan white ellipse truncheon,
Michael,Cyan butterfly head band,Light red  cat ear,Light orange litchi eye,Golden the vertical bun hair,Brownness mouth,Red short nose,Cyan preious stone necklace,Golden wing
Malahidiel,White helmet,Light red short ear,Bright red black phonix eye,Dark red short voume hair,Violet mouth,Pink long nose,Cyan yellow ellipse truncheon,Violet four winged
Barbiel,Deep pink earrings,Green pentagon era,Green  black willow eye,Golden points in the temples hair,Brownness round mouth,Deep orange aquiline nose,Violet ellipse truncheon,White four winged
Danae,Green pendant,Deep red pentagon era,Green black phonix eye,Cyan side swept fringe waves  hair,Light brownness round mouth,Deep orange aquiline nose,Blue triangle necklace,Golden wing
Barbiel,Green round earring,Cyan rabbit ear,Light yellow orange black round eye,Violet braid hair,Light brownness round mouth,Black pointed nose,Cyan spear,Violet six wings
Felicia,Red helmet,Light black rabbit ear,Cyan red black rui cheng eye,Violet side swept fringe waves  hair,Black oval mouth,Green round nose,Blue preious stone necklace,Cyan wing
Danae,Golden cloak,Blue  bar type ear,Deep red black willow eye,Cyan the vertical bun hair,Red heart shaped mouth,Deep red short nose,Cyan bar head,Golden wing
Haniel,Blue round earring,Green deer ear,Yellow black lifting eye,Dark red shawls hair,Orange oval mouth,Dark brownness round nose,Red dress cross necklace,Black  six wings
Hamaliel,Blue bar necklace,Violet cat ear,Deep red black willow eye,Black the vertical bun hair,Orange mouth,Deep blue long nose,Yellow ellipse truncheon,White two wing
Verchiel,Blue wing cloak,Orange bar type ear,Cyan violet black rui cheng eye,Dark red the points bang waves  hair,Deep red round mouth,Light red  pointed nose,Red shield,Golden wing
Asmodel,Pink green earrings,Deep red  bar type ear,Deep black litchi eye,Brownness shoulder length hair,Deep red oval mouth,Cyan short nose,Cyan butterfly pattern necklace,Golden four winged
Haniel,Light cyan hair clasp,Light black  bar type ear,Cyan orange black rui cheng eye,Green the points bang waves  hair,Brownness round mouth,Black pointed nose,Golden preious stone necklace,Golden two wing
Barbiel,Deep pink earrings,Cyan short ear,Yellow orange black perch blossom eye,Dark red the points bang waves  hair,Pink mouth,Pink aquiline nose,Cyan yellow ellipse truncheon,Violet two wing
Hamaliel,Yellow black,Deep red long ear,Light yellow black willow eye,Black waves hair,Small orange mouth,Red short nose,Blue cross,White wing
Ambiel,White green cat head band,Light red deer ear ,Cyan violet black perch blossom eye,Black points in the temples hair,Small orange mouth,Red short nose,Golden spear,White four winged
Cassiel,Green round earring,Deep yellow rabbit ear ,Deep yellow black lifting eye,Brownness short voume hair,Deep red rectangle mouth,Black pointed nose,Blue shield,White wing
Zuriel,Violet wing cloak,Deep red rabbit ear,Cyan yellow black perch blossom eye,Dark red shoulder length hair,Black heart shaped mouth,Pink short nose,Golden cross,Violet wing
Ambiel,Blue round earring,Orange elf ear,Yellow blue black round eye,White waves hair,Brownness mouth,Blue short nose,Blue triangle necklace,Golden six wings
Gabriel,Cyan front lace wig,Cyan long ear,Yellow orange black perch blossom eye,Violet braid hair,Deep red rectangle mouth,Deep blue long nose,White preious stone necklace,Violet two wing
Michael,Cyan black earring,Light black pentagon era,Orange narrow eye,Dark red the points bang waves  hair,Pink mouth,Blue aquiline nose,Cyan dress cross necklace,Cyan four winged
Asmodel,Blue cloak,Blue deer ear,Yellow brownness black perch blossom eye,Cyan the points bang waves  hair,Small orange mouth,Black pointed nose,Blue saint sword,Black  six wings
Felicia,Yellow black,Deep yellow long ear,Cyan yellow black rui cheng eye,Black arc bangs wave hair ,Orange mouth,Green pointed nose,White triangle necklace,White wing
Asmodel,Blue cloak,Green pentagon era,Light yellow orange black round eye,Black the curly hair,Orange mouth,Deep blue aquiline nose,Golden cross,
Asmodel,Light cyan bar necklace,Orange long ear,Yellow black litchi eye,Black the points bang waves  hair,Violet mouth,Deep blue long nose,Red dress cross necklace,Cyan four winged
Danae,Yellow pendant,Deep yellow elf ear,Light orange black willow eye,Cyan the vertical bun hair,Black rectangle mouth,Violet aquiline nose,White cross,Violet four winged
Barbiel,Violet butterfly head band,Deep yellow cat ear,Orange black willow eye,Cyan the points bang waves  hair,Orange oval mouth,Red long nose,Blue shield,Golden four winged
Verchiel,Yellow green authority,Brownness long ear,Orange narrow eye,Golden points in the temples hair,Violet oval mouth,Deep red aquiline nose,Blue preious stone necklace,
Felicia,Cyan wing cloak,Deep red long ear,Cyan orange lifting eye,Cyan long hair,Black heart shaped mouth,Black short nose,Blue clothing,Cyan  six wings
Hamaliel,Blue helmet,Green elf ear,Light red black phonix eye,Green the curly hair,Red mouth,Deep red aquiline nose,Blue shield,White two wing
Adnachiel,Cyan black earring,Orange rabbit ear,Yellow golden black perch blossom eye,Black the vertical bun hair,Orange oval mouth,Cyan round nose,Cyan bar head,Cyan four winged
Adnachiel,Deep blue earrings,Cyan cat ear,Cyan brownness black rui cheng eye,Dark red shawls hair,Light yellow oval mouth,Black aquiline nose,White ellipse truncheon,
Asmodel,Blue hair clasp,Orange rabbit ear,Cyan black long and thin eye,Cyan side swept fringe waves  hair,Light brownness round mouth,Brownness round nose,Cyan preious stone necklace,
Felicia,Yellow black earring,Brownness deer ear,White orange litchi eye,Violet the curly hair,Deep red rectangle mouth,Red aquiline nose,Cyan violet ellipse truncheon,White two wing
Gabriel,Pink crown,Brownness short ear,Yellow orange litchi eye,Brownness shoulder length hair,Light brownness round mouth,Green round nose,Blue preious stone necklace,
Malahidiel,Blue black,Light black triangle ear,Deep red lifting eye,White waves hair,Red mouth,Green round nose,Blue dress cross necklace,Golden six wings
Haniel,Blue pendant,Blue triangle ear,Cyan black lifting eye,Green arc bangs wave hair,Violet oval mouth,Black short nose,White triangle necklace,White six wings
Adnachiel,Violet cloak,Light red pentagon era,Green black long and thin eye,Cyan waves hair,Black oval mouth,Orange round nose,White ellipse truncheon,White six wings
Barbiel,Red helmet,Orange elf ear,Cyan brownness black rui cheng eye,Green long hair,Red mouth,Red short nose,Blue butterfly pattern necklace,Black  six wings
Manuel,Yellow black,Violet long ear,Red black phonix eye,Cyan arc bangs wave hair,Light brownness round mouth,Black pointed nose,Yellow semicircle truncheon,White two wing
Felicia,Cyan wing cloak,Light black cat ear,Yellow orange litchi eye,White side swept fringe waves  hair,Violet mouth,Orange pointed nose,Cyan cross,White wing
Michael,Green butterfly head band,Violet short ear,Cyan black phonix eye,Green side swept fringe waves  hair,Orange heart shaped mouth,Dark brownness round nose,Cyan yellow ellipse truncheon,White six wings
Danae,Yellow pendant,Light red short ear,Cyan black long and thin eye,Brownness the vertical bun hair,Brownness round mouth,Blue aquiline nose,Cyan saint sword,Cyan wing
Danae,Yellow blue cat head band,Light black elf ear,Orange narrow eye,Black the curly hair,Deep red round mouth,Cyan aquiline nose,Deep cyan ellipse truncheon,
Hamaliel,Blue helmet,Light black rabbit ear,Blue black phonix eye,White the vertical bun hair,Black mouth,Dark red round nose,Cyan white ellipse truncheon,Golden four winged
Verchiel,Deep blue earrings,Light black cat ear,Deep brownness black round eye,Violet side swept fringe waves  hair,Light yellow heart shaped mouth,Violet aquiline nose,Blue bar head,Violet two wing
Manuel,Pink necklace,Blue long ear,Yellow black litchi eye,Golden long hair,Deep red oval mouth,Light red  pointed nose,Cyan golden ellipse truncheon ,
Barbiel,Yellow belt,Green cat ear,Light red black willow eye,Black points in the temples hair,Violet oval mouth,Pink short nose,Red dress cross necklace,Cyan four winged
Haniel,White violet cat head band,Deep yellow cat ear,White orange litchi eye ,White the points bang waves  hair,Pink mouth,Orange pointed nose,Cyan cross,Cyan four winged
Michael,White long stick,Light black long ear,White orange litchi eye,Black waves hair,Deep red mouth,Deep red long nose,White triangle necklace,
Danae,Yellow necklace,Deep yellow short ear,Orange black phonix eye,Brownness the curly hair,Deep red oval mouth,Orange aquiline nose,Golden ellipse truncheon,Cyan  six wings
Zuriel,Violet butterfly head band,Deep yellow cat ear,Yellow blue black round eye,Black braid hair,Deep red mouth,Orange pointed nose,Cyan butterfly pattern necklace,White two wing
Danae,Yellow necklace,Deep yellow short ear,Orange black phonix eye,Dark red the curly hair,Black round mouth,Deep orange aquiline nose,Violet ellipse truncheon,Violet six wings
Malahidiel,White helmet,Brownness long ear,Cyan red black perch blossom eye,Green long hair,Deep red round mouth,Light red round nose,Golden bar head,Golden six wings
Haniel,Golden cloak,Cyan elf ear,Light red black lifting eye,Brownness waves hair,Orange round mouth,Deep orange pointed nose,Blue dress cross necklace,
Gabriel,White violet cat head band,Green elf ear,Violet black willow eye,Brownness shawls hair,Brownness mouth,Deep blue aquiline nose,Golden ellipse truncheon,Golden wing
Manuel,Yellow blue cat head band,Deep yellow  bar type ear,Cyan black long and thin eye,Brownness shawls hair,Orange oval mouth,Cyan aquiline nose,Cyan violet ellipse truncheon,Cyan two wing
Danae,Violet butterfly head band,Orange deer ear,Cyan black lifting eye,White the curly hair,Small orange mouth,Green round nose,White dress cross necklace,White wing
Felicia,Blue long stick,Violet long ear,Violet black willow eye,Green short voume hair,Deep red round mouth,Pink aquiline nose,Red dress cross necklace,Golden six wings
Hamaliel,Cyan wing cloak,Blue elf ear,Brownness black willow eye,Cyan braid hair,Violet oval mouth,Deep orange aquiline nose,Golden shield,
Hamaliel,Green butterfly head band,Green elf ear,Red black phonix eye,Black arc bangs wave hair,Violet round mouth,Orange short nose,Red shield,
Asmodel,Golden yellow cat head band,Orange short ear,Light golden black willow eye,Black braid hair,Black round mouth,Blue pointed nose,Blue trident,White six wings
Michael,Green butterfly head band,Blue deer ear,Yellow black long and thin eye,Green arc bangs wave hair,Deep red heart shaped mouth,Light brownness round nose,Golden cross,
Cassiel,Blue necklace,Blue long ear,Light red black phonix eye,Cyan braid hair,Violet mouth,Violet long nose,Violet ellipse truncheon,Violet four winged
Zuriel,Violet wing cloak,Green triangle ear,Deep orange black phonix eye,Golden arc bangs wave hair,Brownness mouth,Black aquiline nose,White spear,White two wing
Michael,White cyan authority,Orange triangle ear,Cyan black phonix eye,Black shoulder length hair,Small orange mouth,Orange aquiline nose,Blue saint sword,Violet two wing
Felicia,Red helmet,Green  bar type ear,Cyan violet black rui cheng eye,Cyan side swept fringe waves  hair,Deep red mouth,Deep red round nose,Cyan semicircle truncheon,White six wings
Haniel,Green belt,Blue triangle ear,Cyan brownness black perch blossom eye,Dark red arc bangs wave hair,Pink mouth,Deep blue short nose,Cyan trident,White six wings
Malahidiel,Violet  hair clasp,Violet pentagon era,Deep red black willow eye,Violet shawls hair,Deep red rectangle mouth,Blue round nose,Blue cross,Violet six wings
Danae,Yellow blue cat head band,Deep yellow triangle ear,Cyan black phonix eye,Cyan arc bangs wave hair,Deep red round mouth,Red long nose,Cyan yellow ellipse truncheon,Golden six wings
Danae,Violet bar necklace,Green short ear,Deep orange black phonix eye,Violet shawls hair,Rectangle mouth,Deep red round nose,Cyan yellow ellipse truncheon,Violet wing
Zuriel,Golden hair clasp,Deep yellow short ear,Cyan black lifting eye,Violet waves hair,Black round mouth,Pink short nose,Cyan golden ellipse truncheon ,Golden wing
Barbiel,Cyan pink earrings,Orange pentagon era,Yellow black litchi eye,Dark red the curly hair,Violet mouth,Light red  pointed nose,Yellow semicircle truncheon,White two wing
Cassiel,Blue earrings,Orange cat ear,Light orange black willow eye,White waves hair,Orange oval mouth,Orange short nose,Blue clothing,Black  six wings
Asmodel,Cyan necklace,Light red short ear,Yellow golden black perch blossom eye,Violet side swept fringe waves  hair,Black round mouth,Orange pointed nose,Cyan bar head,Cyan wing
Danae,Violet butterfly head band,Cyan triangle ear,Yellow orange litchi eye,Violet the points bang waves  hair,Orange oval mouth,Dark red round nose,Red clothing,Violet six wings
Manuel,Yellow black,Orange pentagon era,Light yellow orange black round eye,Golden the vertical bun hair,Orange heart shaped mouth,Orange aquiline nose,Red V necklace,Violet wing
Danae,Yellow pendant,Deep red rabbit ear,Cyan black lifting eye,Dark red short voume hair,Yellow mouth,Deep orange short nose,White triangle necklace,
Verchiel,Violet black earring,Cyan elf ear,Cyan orange black rui cheng eye,Green arc bangs wave hair,Small orange mouth,Blue aquiline nose,Golden ellipse truncheon,Golden wing
Asmodel,Golden butterfly head band,Light black long ear,Yellow brownness black perch blossom eye,Violet shoulder length hair,Light yellow heart shaped mouth,Cyan round nose,White cross,Golden four winged
Danae,Yellow necklace,Light black elf ear,Yellow violet black perch blossom eye,Dark red the points bang waves  hair,Violet round mouth,Black round nose,White shield,White four winged
Asmodel,Cyan necklace,Brownness cat ear,Cyan black lifting eye,Green shoulder length hair,Deep red round mouth,Blue long nose,Cyan shield,Golden four winged
Felicia,Yellow black,Blue rabbit ear,Green black phonix eye,Black side swept fringe waves  hair,Brownness round mouth,Light orange round nose,Cyan ellipse truncheon,Violet four winged
Felicia,Red helmet,Violet long ear,Cyan black lifting eye,Black the points bang waves  hair,Brownness round mouth,Cyan long nose,White dress cross necklace,Cyan  six wings
Adnachiel,Violet black,Violet short ear,Deep red lifting eye,Dark red shoulder length hair,Orange heart shaped mouth,Pink short nose,Golden trident,Golden four winged
Haniel,Blue pendant,Blue triangle ear,Cyan black lifting eye,Dark red shawls hair,Deep red mouth,Light orange pointed nose,Golden ellipse truncheon,Golden two wing
Felicia,Yellow earrings,Brownness rabbit ear,Deep red black willow eye,Cyan side swept fringe waves  hair,Orange oval mouth,Light brownness round nose,Red shield,Black  six wings
Hamaliel,Cyan butterfly head band,Light red  cat ear,Light yellow orange black round eye,Violet the points bang waves  hair,Deep red mouth,Orange short nose,Red spear,Golden four winged
Haniel,White violet cat head band,Brownness long ear,Orange black phonix eye,Violet shawls hair,Brownness mouth,Blue round nose,Blue butterfly pattern necklace,
Zuriel,Violet wing cloak,Green triangle ear,Light yellow black willow eye,White shoulder length hair,Orange mouth,Cyan round nose,Golden ellipse truncheon,Violet six wings
Zuriel,Violet wing cloak,Light black long ear,Yellow green black round eye,Green the points bang waves  hair,Deep red oval mouth,Blue short nose,Cyan trident,
Verchiel,Yellow green authority,Light black rabbit ear,Deep black litchi eye,Golden the points bang waves  hair,Deep red mouth,Blue round nose,Red V necklace,
Verchiel,Yellow green authority,Violet elf ear,Violet black willow eye,Brownness waves hair,Violet mouth,Black aquiline nose,Blue spear,White four winged
Hamaliel,Green butterfly head band,Orange triangle ear,Pink black phonix eye,Brownness arc bangs wave hair,Black mouth,Light brownness round nose,Golden spear,Cyan wing
Hamaliel,Cyan butterfly head band,Cyan rabbit ear,Blue black phonix eye,Black long hair,Viole heart shaped mouth,Green round nose,Cyan spear,Cyan two wing
Cassiel,White cyan authority,Deep red long ear,Yellow green black perch blossom eye,Cyan the vertical bun hair,Viole heart shaped mouth,Light orange round nose,Blue triangle necklace,Golden six wings
Adnachiel,Deep blue earrings,Blue triangle ear,Yellow red black round eye,White the vertical bun hair,Red heart shaped mouth,Light red round nose,Red saint sword,
Adnachiel,Violet cloak,Orange bar type ear,Cyan yellow black perch blossom eye,Black arc bangs wave hair ,Light yellow heart shaped mouth,Violet long nose,Cyan white ellipse truncheon,White six wings
Malahidiel,Red long stick,Green rabbit ear,Light orange litchi eye,Cyan braid hair,Light yellow heart shaped mouth,Orange aquiline nose,Cyan shield,White wing
Zuriel,Yellow pendant,Violet pentagon era,Yellow orange black round eye,White shawls hair,Deep red mouth,Deep red short nose,Golden ellipse truncheon,White wing
Hamaliel,Cyan wing cloak,Light black deer ear,Yellow black long and thin eye,Cyan braid hair,Small orange mouth,Deep orange aquiline nose,Cyan preious stone necklace,Violet six wings
Hamaliel,Green butterfly head band,Deep yellow cat ear,Yellow violet black perch blossom eye,Violet shawls hair,Violet round mouth,Green round nose,Cyan ellipse truncheon,
Gabriel,Blue black earring,Light black cat ear,Yellow cyan  black perch blossom eye,Green long hair,Deep red round mouth,Violet aquiline nose,White saint sword,Golden wing
Felicia,Violet black,Blue pentagon era,Light orange litchi eye,Brownness shawls hair,Orange mouth,Light red  pointed nose,Golden spear,Violet six wings
Michael,Green necklace,Light black short ear,Yellow brownness black round eye,Cyan the curly hair,Black oval mouth,Deep red long nose,Golden semicircle truncheon,Black  six wings
Zuriel,Blue long stick,Deep yellow rabbit ear ,Yellow green black round eye,White braid hair,Deep red oval mouth,Deep orange aquiline nose,Cyan yellow ellipse truncheon,Violet four winged
Verchiel,White green authority,Blue deer ear,Yellow black litchi eye,Black the curly hair,Small orange mouth,Red aquiline nose,Blue triangle necklace,White wing
Adnachiel,Green black earring,Blue pentagon era,Yellow cyan  black perch blossom eye,Cyan the vertical bun hair,Viole heart shaped mouth,Deep blue long nose,Golden ellipse truncheon,White six wings
Barbiel,Violet  hair clasp,Green deer ear,Red black phonix eye,Brownness waves hair,Small orange mouth,Green pointed nose,White ellipse truncheon,
Zuriel,Red helmet,Violet cat ear,Yellow black litchi eye,White long hair,Orange mouth,Cyan short nose,Blue triangle necklace,
Asmodel,Cyan necklace,Brownness short ear,Yellow orange black perch blossom eye,Black shoulder length hair,Deep red rectangle mouth,Violet long nose,Cyan saint sword,Cyan  six wings
Ambiel,White cyan authority,Blue short ear,Cyan yellow black perch blossom eye,White the curly hair,Black round mouth,Cyan round nose,Red shield,White two wing
Felicia,Yellow earrings,Deep red rabbit ear,Deep orange black phonix eye,Black the points bang waves  hair,Red heart shaped mouth,Deep orange aquiline nose,Cyan trident,Cyan wing
Felicia,Yellow earrings,Deep yellow short ear,Deep brownness black round eye,Dark red long hair,Orange heart shaped mouth,Blue aquiline nose,Golden spear,Golden six wings
Haniel,Violet butterfly head band,Blue long ear,Orange narrow eye,Green the points bang waves  hair,Black oval mouth,Deep red aquiline nose,Blue saint sword,Violet wing
Hamaliel,Green necklace,Orange triangle ear,Yellow violet black perch blossom eye,Golden shoulder length hair,Deep red round mouth,Light red  pointed nose,Cyan violet ellipse truncheon,Violet two wing
Verchiel,Deep blue earrings,Light red deer ear ,Gray black willow eye,Black long hair,Red mouth,Deep blue short nose,Violet ellipse truncheon,
Hamaliel,Green necklace,Brownness  bar type ear,Cyan brownness black perch blossom eye,Cyan long hair,Red mouth,Dark red round nose,Golden preious stone necklace,
Hamaliel,Violet wing cloak,Light red short ear,Cyan violet black perch blossom eye,Green  the vertical bun hair,Red heart shaped mouth,Red pointed nose,Blue saint sword,Violet four winged
Verchiel,Deep blue earrings,Light black triangle ear,Brownness black willow eye,Black the points bang waves  hair,Viole heart shaped mouth,Black long nose,White saint sword,Cyan two wing
Danae,Violet  hair clasp,Orange triangle ear,Yellow violet black round eye,Golden arc bangs wave hair,Yellow mouth,Cyan short nose,Cyan white ellipse truncheon,White six wings
Malahidiel,Blue black,Brownness short ear,Red black phonix eye,Violet the vertical bun hair,Red mouth,Blue round nose,Blue V necklace,
Adnachiel,Cyan long stick,Violet cat ear,Cyan orange lifting eye,Brownness braid hair,Deep red rectangle mouth,Black aquiline nose,Red preious stone necklace,Violet wing
Verchiel,Blue wing cloak,Cyan triangle ear,Yellow red black perch blossom eye,Brownness waves hair,Viole heart shaped mouth,Blue long nose,Cyan golden ellipse truncheon ,Violet six wings
Zuriel,Violet  hair clasp,Blue short ear,Cyan golden black rui cheng eye,Dark red the points bang waves  hair,Orange heart shaped mouth,Light brownness round nose,Blue spear,White wing
Asmodel,Cyan necklace,Green deer ear,Yellow gray black round eye,Dark red waves hair,Yellow mouth,Deep blue short nose,Red preious stone necklace,White six wings
Haniel,Golden cloak,Deep red cat ear,Yellow green black round eye,Black long hair,Black oval mouth,Light red round nose,White preious stone necklace,Violet four winged
Hamaliel,Yellow earrings,Light red triangle ear,Deep black litchi eye,Cyan the points bang waves  hair,Black heart shaped mouth,Violet short nose,Yellow semicircle truncheon,Violet two wing
Ambiel,Blue crown,Light black  bar type ear,Yellow green black round eye,Black long hair,Yellow mouth,Black round nose,Golden shield,
Hamaliel,Pink green earrings,Violet short ear,Cyan black willow eye,Green braid hair,Light yellow heart shaped mouth,Blue round nose,Blue dress cross necklace,Cyan two wing
Gabriel,Blue black earring,Green rabbit ear,Cyan black litchi eye,Golden long hair,Black mouth,Light brownness round nose,Deep cyan ellipse truncheon,Black  six wings
Verchiel,Red helmet,Blue pentagon era,Cyan black litchi eye,Golden the vertical bun hair,Deep red round mouth,Light brownness round nose,Cyan violet ellipse truncheon,
Haniel,Light cyan hair clasp,Light red pentagon era,Yellow blue black round eye,White shoulder length hair,Light brownness round mouth,Red long nose,White shield,Golden wing
Michael,Yellow belt,Light black cat ear,Light yellow orange black round eye,White shoulder length hair,Orange round mouth,Blue aquiline nose,White saint sword,Cyan  six wings
Barbiel,Green round earring,Orange pentagon era,Cyan violet black rui cheng eye,Golden waves hair,Red mouth,Black long nose,Cyan saint sword,Golden four winged
Zuriel,Green black,Deep yellow pentagon era,Light orange litchi eye,Black the vertical bun hair,Yellow mouth,Cyan short nose,White semicircle truncheon,White four winged
Malahidiel,White green cat head band,Deep red elf ear,Blue black phonix eye,Violet arc bangs wave hair,Brownness mouth,Violet aquiline nose,Blue clothing,
Ambiel,Blue round earring,Violet long ear,Yellow violet black perch blossom eye,Green shawls hair,Deep red rectangle mouth,Violet aquiline nose,Blue cross,Violet two wing
Ambiel,Yellow black,Blue deer ear,Pink black phonix eye,Green the curly hair,Deep red mouth,Light orange pointed nose,Deep cyan ellipse truncheon,Violet two wing
Ambiel,Yellow black,Deep yellow pentagon era,Cyan gray black perch blossom eye,Golden short voume hair,Small orange mouth,Deep blue aquiline nose,Blue dress cross necklace,Cyan four winged
Felicia,Yellow black,Green triangle ear,Light yellow black willow eye,Black the curly hair,Brownness mouth,Cyan aquiline nose,Violet ellipse truncheon,Cyan two wing
Gabriel,White violet cat head band,Light black triangle ear,Deep red black willow eye,Golden braid hair,Black rectangle mouth,Light orange pointed nose,Violet ellipse truncheon,Cyan four winged
Danae,Violet bar necklace,Cyan cat ear,White orange litchi eye,Violet the vertical bun hair,Pink mouth,Deep orange long nose,Cyan violet ellipse truncheon,Cyan  six wings
Verchiel,Green butterfly head band,Green triangle ear,White orange litchi eye,Cyan shawls hair,Pink mouth,Blue round nose,Golden butterfly pattern necklace,
Cassiel,Blue earrings,Blue  bar type ear,Yellow black litchi eye,White arc bangs wave hair,Orange oval mouth,Dark brownness round nose,Blue triangle necklace,Cyan wing
Haniel,White violet cat head band,Deep red  bar type ear,Light red black lifting eye,Cyan long hair,Black rectangle mouth,Deep blue aquiline nose,Golden semicircle truncheon,
Zuriel,Blue long stick,Deep yellow deer ear,Light cyan orange black rui cheng eye,Brownness shawls hair,Deep red oval mouth,Violet long nose,Cyan triangle necklace,Golden two wing
Felicia,Yellow black earring,Brownness triangle ear,Deep red lifting eye,Green  the vertical bun hair,Yellow mouth,Black short nose,Blue shield,White two wing
Michael,Cyan front lace wig,Green triangle ear,Brownness black willow eye,Violet side swept fringe waves  hair,Orange heart shaped mouth,Blue short nose,Cyan triangle necklace,White six wings
Verchiel,Red helmet,Deep yellow short ear,Dark red black phonix eye,Brownness the vertical bun hair,Viole heart shaped mouth,Deep orange aquiline nose,Blue shield,Violet two wing
Adnachiel,Violet black,Deep red deer ear,Orange black willow eye,Dark red the points bang waves  hair,Deep red rectangle mouth,Green pointed nose,Red shield,White two wing
Haniel,Green belt,Light red  cat ear,Deep red black willow eye,White long hair,Small orange mouth,Blue round nose,Cyan clothing,White wing
Barbiel,Cyan pink earrings,Orange triangle ear,Yellow cyan  black perch blossom eye,Golden the vertical bun hair,Deep red round mouth,Deep orange long nose,Blue butterfly pattern necklace,Violet four winged
