type,       attribute1,   attribute2,"	attribute3","	attribute4","	attribute5"
Duck,Blue triangle Hat,Blue black eye&long eyebrow,Pink long hair,Black orange long Mouth,Red wing
Zebra Finch,Deep blue trapezoid Hat,Small black eye&black long eyebrow,Orange long hair,Black triangle small Mouth,Agree wing
Swallow,Black Hat,Black eye&round eyebrow,Pink broken,Red triangle small Mouth,Blue cyan wing
Magpie,Blue black round glasses,Small black eye&orange round eyebrow,Cyan short hair,Orange quadrangle Mouth,Cyan  tooth profine wing
Bullfinch,Dark black round Hat,Black eye&Black eyebrow,Pink middle parting,Black orange long Mouth,Pink wing 
Hummingbird,Yellow quadrangle Hat,Cambridge blue eye&pink eyebrow,Red punk,Black Mouth,White sector wing
Seagull,Orange yellow Hat,Jet black eye&long eyebrow,Above color crown,Golden quadrangle  Mouth,Agree sector wing
Swan,Deep gray  round Hat,Blue black eye&long eyebrow,Pink Curly,Deep Golden triangle Mouth,Violet tooth profine wing
Wild Goose,Black white necklace,Cambridge blue eye&black long eyebrow,Pink Curly,Orange triangle small Mouth,Dark blue  wing 
Kingfisher,orange perked cap,Black eye&orange long eyebrow,Green crown,Black red long Mouth,Violetv wing
Seagull,Black orange necklace,Black eye&deep orange eyebrow,Green crown,Blue Naroon,Pink wing 
Seagull,Blue Hat,Big black eye&long eyebrow,Black red hair,Pale yellow triangle  Mouth,Black trapeziod wing  
Chick,Dark blue  square glasses,Black eye&deep orange eyebrow,Yellow Curly,Dark blue triangle Mouth,Dark black wing 
Swallow,Pink square glasses,Black eye&yellow eyebrow,Red short hair,Depp red triangle Mouth,Red sector wing
Pigeon,Violet round glasses,Jet black eye&long eyebrow,Cyan punk,Dark blue triangle Mouth,Orange trapeziod wing 
Aurora,Blue headset,White eye&Black eyebrow,Black broken,Blue Naroon,Dark cyan wing 
Magpie,Violet black  Hat,Black whiteeye&round eyebrow,Cyan short hair,Golden square Mouth,Red sector wing
Aurora,Green Hat,Black whiteeye&round eyebrow,Light cyan shorthair,Black orange black Mouth,Violetv wing
Turkey,Black white Hat,Black eye&pink eyebrow,Pink short hair,Blue black Mouth,Yellow rhomboid wing
Seagull,Brow hat,Small black eye&red long eyebrow,Pink middle parting,Light blue short Mouth,Yellow trapeziod wing 
Seagull,Black blue orange round Hat,White eye&black long eyebrow,Red Curly,Black orange long Mouth,Colours sector wing
Kingfisher,orange perked cap,Small black eye&orange  eyebrow,Pink long hair,Black triangle small Mouth,Agree wing
Woodpecker,Black triangle glasses,Small black eye&orange round eyebrow,Red hairdo,Yellow long Mouth,Blue cyan wing
Penguin,Pink headset,Black purple eye&long eyebrow,Orange short hair,Orange square Mouth,Red rhomboid wing
Bullfinch,Red round glasses,Black eye&long black eyebrow,Red short hair,Blue Naroon,Cyan yellow sector wing
Chick,Dark black round Hat,Small black eye&long eyebrow,Pink Curly,Blue triangle  Mouth,Dark blue  wing 
Flamingo,Red black pentagon glasses,Black eye&long eyebrow,Orange middle parting,Red triangle small Mouth,Gray rhomboid wing
Turkey,Violet black  Hat,black orange eye&long eyebrow,Red short hair,Black orange small Mouth,Grey violet sector wing
Turkey,Yellow quadrangle Hat,Black eye&rectangle eyebrow,Cyan punk,Pale yellow triangle  Mouth,Red trapeziod wing 
Oriole,Red black triangle glasses,Big black eye&black long eyebrow,Pink Curly,Deep Blue triangle Mouth,Dark red wing 
Woodpecker,Black brow hat,Big black eye&long eyebrow,Red short hair,Black triangle small Mouth,Blue cyan wing
Duck,Pink square glasses,Pink black eye&long eyebrow,Light cyan hair,Blue triangle  Mouth,Orange triangle  wing
Chick,Orange black square Hat,Black eye&long black eyebrow,Red Curly,Golden polygon Mouth,White sector wing
Aurora,Blue trapezoid  Hat,Black white eye&long eyebrow,Golden airplane,Yellow long Mouth,Agree wing
Vulture,Green Hat,Blue eye&blue eyebrows,Blue hairdo,Red short Mouth,Colours front shape wing
Pigeon,Gray black Hat,Blue eye&blue eyebrows,Light cyan shorthair,Golden triangle Mouth,Red front shape wing 
Crow,Dark blue headset,Black eye&round black eyebrow,Cyan punk,Orange triangle big Mouth,Dark cyan wing 
Petrel,Red black quadrangle Hat,Black white eye&long eyebrow,Pink Curly,Black yellow Mouth,Colours trapeziod wing 
Vulture,Deep orange black round hat,Blue eye&blue eyebrows,Blue hairdo,Orange polygon  Mouth,Cyan  tooth profine wing
Flamingo,Black cyan Hat,Light cyan eye&pink eyebrow,Plae yellow braid,Yellow long Mouth,Blue rhomboid wing
Swan,Deep gray  round Hat,Blue black eye&long eyebrow,Light cyan shorthair,Orange small Mouth,Red wing
Pigeon,Violet round glasses,Black eye&orange eyebrow,Black short hair,Red triangle Mouth,Agree trapeziod wing  
Magpie,Brow hat,Light cyan  eye&orange long eyebrow,Orange long hair,Black orange small Mouth,Cyan trapeziod wing 
Seagull,Red black round glasses,Small black eye&red long eyebrow,Red Curly,Orange Mouth,Red trapeziod wing 
Crow,Dark red black glasses,Light cyan  eye&orange long eyebrow,Light cyan shorthair,Orange polygon  Mouth,Yellow agree front shape wing 
Vulture,Red black pentagon glasses,Black eye&orange long eyebrow,Black middle parting,Black Mouth,Blue front shape wing 
Hummingbird,Black Hat,Small black eye&orange  eyebrow,Red short hair,Orange square Mouth,Red rhomboid wing
Chick,Somber triangle glasses,Big black eye&black long eyebrow,Red airplane,Pale gold Palegreen,Blue front shape wing 
Turkey,Deep blue trapezoid Hat,Small black eye&long eyebrow,Blue punk,Light orange short Mouth,Pink  violet sector wing
Oriole,Blue triangle Hat,Black eye&long black eyebrow,Red airplane,Orange triangle big Mouth,Black trapeziod wing  
Chick,Dark blue gray polygon Hat,White eye&black long eyebrow,Cyan Curly,Blue Naroon,Red front shape wing 
Ostrich,Orange black  Hat,Cyan black eye&long eyebrow,Black middle parting,Deep Golden triangle Mouth,Violetv wing
Penguin,Blue headset,Blue black eye&long eyebrow,Green crown,Orange polygon  Mouth,Yellow agree trapeziod wing
Swan,Deep gray  round Hat,Light cyan eye&pink eyebrow,Blue broken,Orange long Mouth,Yellow agree trapeziod wing
Duck,Orange black square Hat,Black eye&long pink eyebrow,Orange middle parting,Deep Blue triangle Mouth,Yellow agree front shape wing 
Swan,Black cyan Hat,Black eye&long black eyebrow,Cyan punk,Orange triangle Mouth,Violetv wing
Vulture,Orange black polygon Hat,Small black eye&black long eyebrow,Orange short hair,Red triangle small Mouth,Colours wing 
Duck,Pink square glasses,Black eye&round black eyebrow,Black middle parting,Dark blue triangle Mouth,Blue cyan wing
Kingfisher,Blue square glasses,Orange eye& eyCambridge blue eyebrow,Blue Curly,Shallow black triangle Mouth,Dark black wing 
Hummingbird,Dark blue gray polygon Hat,Black eye&rectangle eyebrow,Black red hair,Light orange short Mouth,Dark cyan wing 
Kingfisher,Pink square glasses,Black eye&Black eyebrow,Red airplane,Gray triangle Mouth,Gray trapeziod wing 
Bullfinch,Dark blue necklace,Small black eye&long eyebrow,Pink broken,Deep Orange square Mouth,Yellow tooth profine wing
Penguin,Dark orange necklace,Black red eye&A round eyebrow,Blue broken,Orange polygon  Mouth,Blue front shape wing 
Woodpecker,Black brow hat,Big black eye&black long eyebrow,Red short hair,Golden triangle Mouth,Yellow trapeziod wing 
Vulture,Green Hat,Black eye&orange eyebrow,Cyan Curly,Get black triangle Mouth,Pink wing 
Penguin,Pink headset,Small black eye&long eyebrow,Light cyan shorthair,Black yellow long Mouth,Red wing
Swan,Dark blue gray polygon Hat,Cambridge blue eye&pink eyebrow,Red short hair,Deep Gray triangle Mouth,Iridescence wing
Swallow,Orange yellow round Hat,White eye&black long eyebrow,Yellow braid,Black red long Mouth,Colours trapeziod wing 
Bullfinch,Blue headset,Cyan black eye&long eyebrow,Cyan short hair,Shallow black triangle Mouth,Violet tooth profine wing
Flamingo,Dark blue black glasses,White eye&Black eyebrow,Green crown,Black pink Mouth,Yellow agree front shape wing 
Pigeon,Black gray trapezoid  Hat,Light cyan eye&orange eyebrow,Black long hair,Black bluw long Mouth,Blue rhomboid wing
Pigeon,Orange yellow Hat,Black eye&long pink eyebrow,Black yellow hair,Red short Mouth,Dark cyan wing 
Hummingbird,Deep gray  round Hat,Orange eye& eyCambridge blue eyebrow,Red yellow crown,Pale yellow triangle  Mouth,Dark red wing 
Vulture,Black orange necklace,Big black eye&long eyebrow,Black yellow hair,Deep yellow triangle  Mouth,Yellow tooth profine wing
Bullfinch,Agree black quadrangle Hat,Black eye&long black eyebrow,Pink Curly,Yellow long Mouth,Red sector wing
Swan,Pink red round Hat,Small black eye&orange  eyebrow,Light cyan shorthair,Pale red Mouth,Orange yellow wing
Swan,Dark blue gray polygon Hat,Big black eye&black long eyebrow,Pink long hair,Light yellow short Mouth,Dark blue cyan wing
Bullfinch,Red black triangle glasses,Black purple eye&long eyebrow,Black yellow hair,Deep Blue triangle Mouth,Colours sector wing
Penguin,Pink headset,Red eye&black eyebrow,Black yellow hair,Shallow black triangle Mouth,Dark blue cyan wing
Woodpecker,Orange square glasses,Blue eye&blue eyebrows,Blue broken,Orange quadrangle Mouth,Colours sector wing
Chick,Black flat Hat,Blue eye&blue eyebrows,Blue long hair,Black orange long Mouth,Red front shape wing 
Zebra Finch,Orange black round Hat,Black eye&deep orange eyebrow,Pink Curly,Gray big Mouth,Iridescence wing
Vulture,Deep purplepentagon glasses,Orange eye& eyCambridge blue eyebrow,Cyan punk,Pale red Mouth,Khaki front shape wing
Bullfinch,Blue black round glasses,Light cyan eye&pink eyebrow,Blue broken,Black orange long Mouth,Violet front shape wing
Pigeon,Orange yellow Hat,Cyan black eye&long eyebrow,Light cyan shorthair,Blue small Mouth,Black trapeziod wing  
Oriole,Blue triangle Hat,Small black eye&orange  eyebrow,Plae yellow braid,Dark blue triangle Mouth,Iridescence wing
Wild Goose,Blue black pentagon glasses,Black white eye&long eyebrow,Black broken,Golden triangle Mouth,Khaki front shape wing
Ostrich,Deep blue trapezoid Hat,Small black eye&long eyebrow,Red airplane,Golden triangle small Mouth,White black rhomboid wing
Chick,Dark black round Hat,Black eye&round eyebrow,Light cyan hair,Golden triangle small Mouth,Blue rhomboid wing
Crow,Dark blue headset,Blue eye&blue eyebrows,Black long hair,Golden triangle Mouth,Yellow tooth profine wing
Bullfinch,Agree black quadrangle Hat,Jet black eye&long eyebrow,Blue short hair,Orange triangle small Mouth,Agree sector wing
Pelican,Orange yellow Hat,Black eye&yellow eyebrow,Black broken,Orange quadrangle Mouth,Red wing
Crow,Deep blue polygon Hat,Cyan eye&dark red eyebrow,Orange middle parting,Golden square Mouth,Blue trapeziod wing 
Seagull,Dark blue round Hat,Black eye&orange long eyebrow,Blue hairdo,Black orange black Mouth,Dark black wing 
Hummingbird,Yellow quadrangle Hat,Light cyan eye&orange eyebrow,Light cyan shorthair,Deep Blue triangle Mouth,Orange white sector wing
Swallow,Pink square glasses,Big black eye&long eyebrow,Red yellow crown,Orange square Mouth,Yellow trapeziod wing 
Vulture,Red black pentagon glasses,Pink black eye&long eyebrow,Blue long hair,Gray triangle Mouth,Dark red wing 
Kingfisher,Orange yellow Hat,Black eye&Black eyebrow,Pink long hair,Black orange small Mouth,Pink wing 
Magpie,Dark black round Hat,Cambridge blue eye&black long eyebrow,Blue long hair,Orange Mouth, Dark violet front shape wing
Pigeon,Orange black square Hat,Cyan black eye&long eyebrow,Deep red Curly,Black pink Mouth,Violet trapeziod wing 
Bullfinch,Orange black white round Hat,Black white eye&long eyebrow,Plae yellow braid,Gray Mouth,Blue  triangle  wing
Pigeon,Gray black Hat,Jet black eye&long eyebrow,Cyan punk,Golden quadrangle  Mouth,Grey violet sector wing
Vulture,Colous pentagon glasses,Black eye&long eyebrow,Pink long hair,Depp red triangle Mouth,Blue cyan wing
Hummingbird,Yellow quadrangle Hat,Black eye&orange long eyebrow,Blue Curly,Deep orange triangle  Mouth,Cyan  tooth profine wing
Penguin,Violet round glasses,Jet black eye&long eyebrow,Blue short hair,Red short Mouth,Agree wing
Duck,Pink square glasses,Black whiteeye&round eyebrow,Black short hair,Orange quadrangle Mouth,Blue trapeziod wing 
Crow,Dark orange necklace,Light cyan eye&orange eyebrow,Green crown,Deep Golden triangle Mouth,Black rhomboid wing
Oriole,Black necklace,Black eye&pink eyebrow,Pink long hair,Pale gold Palegreen,Blue rhomboid wing
Penguin,Blue headset,Big black eye&long eyebrow,Red hairdo,Yellow long Mouth,Blue  triangle  wing
Wild Goose,Black brow hat,Black eye&yellow eyebrow,Blue broken,Golden triangle Mouth,Blue tooth profine wing
Crow,Brow hat,Light cyan eye&orange eyebrow,Blue short hair,Black orange black Mouth,White gray wing
Penguin,Blue round glasses,White eye&Black eyebrow,Red short hair,Deep Blue triangle Mouth,Blue rhomboid wing
Swallow,Dark blue rectangle glasses,Black red eye&A round eyebrow,Black broken,Gray big Mouth,Orange rhomboid wing
Turkey,Black white Hat,Black purple eye&long eyebrow,Pink Curly,Gray big Mouth,Colours trapeziod wing 
Magpie,Dark blue headset,Black eye&yellow eyebrow,Blue hairdo,Black triangle small Mouth,Colours tooth profine wing
Seagull,Blue Hat,Light cyan  eye&orange long eyebrow,Black yellow hair,Gray Mouth,Violet rhomboid wing
Turkey,Deep yellow arch Hat,White eye&black long eyebrow,Black short hair,Deep Golden triangle Mouth,Orange yellow wing
Vulture,Colous pentagon glasses,Blue black eye&long eyebrow,Red Curly,Orange triangle small Mouth,Blue rhomboid wing
Penguin,Blue headset,Black eye&Black eyebrow,Orange long hair,Black orange small Mouth,Light cyan front shape wing
Pigeon,Black gray trapezoid  Hat,Small black eye&red long eyebrow,Cyan Curly,Gray triangle Mouth,Blue rhomboid wing
Crow,Cambridge blue square glasses,Black eye&round eyebrow,Pink middle parting,Red short Mouth,Cyan yellow sector wing
Magpie,Violet black  Hat,Black purple eye&long eyebrow,Red yellow crown,Red triangle small Mouth,Gray trapeziod wing 
Ostrich,Dark black pentagon glasses,Small black eye&long eyebrow,Pink Curly,Get black triangle Mouth,Red sector wing
Oriole,Red black round glasses,Black eye&round eyebrow,Red punk,Black Mouth,Iridescence wing
Thrush,Red black round glasses,White eye&black long eyebrow,Green braid,Orange square Mouth,Colours tooth profine wing
Swallow,Brow hat,Light cyan eye&pink eyebrow,Yellow Curly,Golden small Mouth,Colours tooth profine wing
Turkey,Deep yellow arch Hat,White eye&black long eyebrow,Pink middle parting,Black orange black Mouth,Gray trapeziod wing 
Aurora,Deep orange black round hat,Cambridge blue eye&black long eyebrow,Yellow Curly,Orange triangle small Mouth,Dark blue cyan wing
Magpie,Violet black  Hat,Black purple eye&long eyebrow,Black red hair,Red short Mouth,Yellow agree front shape wing 
Magpie,Deep blue Hat,Small black eye&red long eyebrow,Pink long hair,Pale yellow triangle  Mouth,Orange white sector wing
Vulture,Black gray trapezoid  Hat,Orange eye& eyCambridge blue eyebrow,Pink Curly,Blue Naroon,Agree wing
Swan,Deep blue mesh cap,Big black eye&orange eyebrow,Pink broken,Black orange small Mouth,White black rhomboid wing
Ostrich,Dark black pentagon glasses,Black eye&deep orange eyebrow,Deep red Curly,Golden polygon Mouth,Black trapeziod wing  
Magpie,Dark blue headset,Small black eye&long eyebrow,Pink Curly,Gray Mouth,Violet front shape wing
Bullfinch,Blue headset,Black eye&round black eyebrow,Green braid,Blue black Mouth,Colours tooth profine wing
Ostrich,Orange yellow round glasses,Jet black eye&long eyebrow,Cyan short hair,Red triangle small Mouth,Blue front shape wing 
Hummingbird,Rainbow round Hat,Cyan black eye&long eyebrow,Orange middle parting,Red triangle small Mouth,Pink wing 
Wild Goose,Deep blue polygon Hat,Black eye&pink eyebrow,Red short hair,Blue triangle  Mouth,White sector wing
Duck,Red round glasses,Black eye&orange long eyebrow,Orange long hair,Shallow black triangle Mouth,Agree sector wing
Penguin,Black flat Hat,Black eye&round eyebrow,Orange hairdo,Red short Mouth,Colours wing 
Swallow,Orange yellow round Hat,Light cyan eye&orange eyebrow,Above color crown,Red triangle small Mouth,Red front shape wing 
Turkey,Black white Hat,Big black eye&long eyebrow,Black short hair,Pale red Mouth,Black rhomboid wing
Chick,Violet square glasses,Cyan eye&dark red eyebrow,Black broken,Golden quadrangle  Mouth,Dark black wing 
Wild Goose,Blue black pentagon glasses,Cyan black eye&long eyebrow,Pink broken,Orange small Mouth,Yellow rhomboid wing
Duck,White square glasses,Black eye&orange long eyebrow,Pink middle parting,Blue triangle  Mouth,Blue trapeziod wing 
Crow,Dark blue headset,Cyan eye&dark red eyebrow,Black middle parting,Black orange long Mouth,Yellow trapeziod wing 
Bullfinch,Blue black round glasses,Black eye&orange long eyebrow,Black yellow hair,Deep Golden triangle Mouth,Agree trapeziod wing  
Ostrich,Deep blue mesh cap,Small black eye&black long eyebrow,Blue short hair,Black orange black Mouth,Yellow rhomboid wing
Penguin,Pink headset,Light cyan  eye&orange long eyebrow,Blue long hair,Pale red Mouth,Blue  triangle  wing
Swan,Pink red round Hat,Jet black eye&long eyebrow,Pink broken,Black bluw long Mouth,Gray rhomboid wing
Penguin,Blue round glasses,Small black eye&red long eyebrow,Black red hair,Orange small Mouth,Cyan yellow sector wing
Duck,Blue flat Hat,Black eye&round eyebrow,Red short hair,Deep Gray triangle Mouth,Orange rhomboid wing
Thrush,Blue triangle Hat,Black cyan eye&long eyebrow,Plae yellow braid,Red triangle small Mouth,Yellow agree front shape wing 
Turkey,Black white Hat,Small black eye&red long eyebrow,Blue broken,Orange Mouth,Agree rhomboid wing
Penguin,orange perked cap,Cambridge blue eye&black long eyebrow,Green braid,Black Mouth,Orange white sector wing
Kingfisher,Blue square glasses,Black whiteeye&round eyebrow,Orange long hair,Red triangle small Mouth,Red trapeziod wing 
Chick,Dark black round Hat,Black eye&long pink eyebrow,Blue punk,Black Mouth,Violet trapeziod wing 
Penguin,Black white square glasses,Small black eye&orange round eyebrow,Green braid,Pale yellow triangle  Mouth,Violet rhomboid wing
Penguin,orange perked cap,Black eye&pink eyebrow,Black yellow hair,Red short Mouth,Grey violet sector wing
Thrush,Red black round glasses,Black red eye&A round eyebrow,Black red hair,Orange short Mouth,Blue trapeziod wing 
Swan,Black cyan Hat,Black eye&long eyebrow,Black yellow hair,Black orange long Mouth,Red front shape wing 
Swallow,Brow hat,Light cyan eye&pink eyebrow,Pink broken,Golden Mouth,Dark red wing 
Swan,Deep blue mesh cap,White eye&black long eyebrow,Black short hair,Deep yellow triangle  Mouth,Violet tooth profine wing
Petrel,Blue black triangle glasses,Black eye&long black eyebrow,Black long hair,Black orange black Mouth,Cyan trapeziod wing 
Swallow,Brow hat,Cambridge blue eye&pink eyebrow,Red airplane,Black long Mouth, Dark violet front shape wing
Zebra Finch,Orange black  Hat,Small black eye&orange round eyebrow,Red punk,Golden Mouth,Red trapeziod wing 
Seagull,Blue Hat,Black cyan eye&long eyebrow,Blue punk,Orange small Mouth,Yellow agree trapeziod wing
Pigeon,Orange yellow Hat,Cyan black eye&long eyebrow,Light cyan hair,Black yellow Mouth,Yellow agree trapeziod wing
Chick,Dark black triangle glasses,Big black eye&orange eyebrow,Blue Curly,Orange triangle small Mouth,Light cyan front shape wing
Hornbill,Violet round glasses,Black eye&orange long eyebrow,Red short hair,Orange square Mouth,Blue rhomboid wing
Seagull,Red black round glasses,Small black eye&red long eyebrow,Light cyan shorthair,Orange small Mouth,Dark cyan wing 
Vulture,Orange yellow round Hat,Big black eye&long eyebrow,Black red hair,Orange triangle Mouth,Colours front shape wing
Petrel,Black pink Hat,Black cyan eye&long eyebrow,Yellow Curly,Orange triangle big Mouth,Colours front shape wing
Chick,Orange black white round Hat,Big black eye&orange eyebrow,Cyan short hair,Gray big Mouth,Dark Colours wing
Seagull,Black blue orange round Hat,Black eye&round eyebrow,Blue Curly,Orange quadrangle Mouth,Light cyan front shape wing
Hummingbird,Orange black  Hat,Cambridge blue eye&black long eyebrow,Green crown,Golden triangle small Mouth,White sector wing
Vulture,Orange black polygon Hat,Small black eye&black long eyebrow,Blue hairdo,Deep Golden triangle Mouth,Blue rhomboid wing
Hummingbird,orange perked cap,Light cyan  eye&orange long eyebrow,Blue hairdo,Deep yellow triangle  Mouth,White sector wing
Hornbill,Green Hat,Light cyan eye&orange eyebrow,Black yellow hair,Black yellow long Mouth,Agree sector wing
Hornbill,Deep orange black round hat,black orange eye&long eyebrow,Black middle parting,Orange triangle small Mouth,Colours tooth profine wing
Wild Goose,Blue black pentagon glasses,Black white eye&long eyebrow,Black broken,Orange long Mouth,Orange triangle  wing
Swallow,Orange black polygon Hat,Light cyan eye&orange eyebrow,Red short hair,Golden triangle Mouth,Agree trapeziod wing  
Kingfisher,orange perked cap,Black eye&Black eyebrow,Deep red Curly,Orange long Mouth,Blue rhomboid wing
Seagull,Black Hat,Cambridge blue eye&black long eyebrow,Red hairdo,Light orange Mouth,Colours wing 
Zebra Finch,Orange black round Hat,Black eye&Black eyebrow,Blue short hair,Shallow black triangle Mouth,Violet rhomboid wing
Bullfinch,Dark black round Hat,Light cyan eye&orange eyebrow,Blue broken,Orange triangle Mouth,Violetv wing
Vulture,Colous pentagon glasses,Black eye&Black eyebrow,Red Curly,Orange polygon  Mouth,Dark cyan wing 
Penguin,Violet round glasses,Black cyan eye&long eyebrow,Blue broken,Deep yellow triangle  Mouth,Red trapeziod wing 
Petrel,Pink  trapezoid  Hat,Pink black eye&long eyebrow,Yellow Curly,Black yellow Mouth,Agree trapeziod wing  
Magpie,Dark black round Hat,Black white eye&long eyebrow,Deep red Curly,Orange polygon  Mouth,Orange white sector wing
Pigeon,Black necklace,Black whiteeye&round eyebrow,Green braid,Shallow black triangle Mouth,Pink  violet sector wing
Wild Goose,Black white necklace,Cambridge blue eye&black long eyebrow,Red yellow crown,Deep Orange square Mouth,Pink wing 
Turkey,Deep blue trapezoid Hat,Small black eye&orange round eyebrow,Blue Curly,Black orange long Mouth,Iridescence wing
Hummingbird,orange perked cap,Orange eye& eyCambridge blue eyebrow,Red hairdo,Orange quadrangle Mouth,Colours wing 
Frigate Bird,Deep blue trapezoid Hat,Small black eye&orange  eyebrow,Black middle parting,Deep Orange square Mouth,Pink  violet sector wing
Frigate Bird,Orange black  Hat,Black eye&Black eyebrow,Pink short hair,Deep Golden triangle Mouth,Red trapeziod wing 
Hornbill,Green Hat,Cambridge blue eye&black long eyebrow,Light cyan shorthair,Shallow black triangle Mouth,Blue  triangle  wing
Petrel,Black pink Hat,Blue eye&blue eyebrows,Red punk,Golden triangle Mouth,Khaki front shape wing
Penguin,Dark orange necklace,Black white eye&long eyebrow,Yellow Curly,Black orange black Mouth,Khaki front shape wing
Seagull,Deep blue mesh cap,Black eye&round eyebrow,Pink long hair,Orange polygon  Mouth,Gray rhomboid wing
Swallow,Pink square glasses,Pink black eye&long eyebrow,Pink long hair,Light blue short Mouth,Red sector wing
Petrel,Blue triangle Hat,Small black eye&long eyebrow,Golden airplane,Pale red Mouth,Orange rhomboid wing
Penguin,Violet round glasses,Black cyan eye&long eyebrow,Cyan short hair,Golden Mouth,Blue cyan wing
Swallow,Light cyan necklace,Black eye&long eyebrow,Red hairdo,Deep orange triangle  Mouth,Orange triangle  wing
Penguin,Blue round glasses,Black eye&jet black eyebrow,Light cyan hair,Black red long Mouth,White black rhomboid wing
Swallow,Orange black polygon Hat,Black cyan eye&long eyebrow,Yellow Curly,Yellow long Mouth,Gray rhomboid wing
Duck,Yellow triangle Hat,Black purple eye&long eyebrow,Red punk,Orange polygon  Mouth,Agree sector wing
Hummingbird,Orange black  Hat,White eye&Black eyebrow,Light cyan hair,Pale gold Palegreen,Dark blue cyan wing
Thrush,Black necklace,Cyan black eye&long eyebrow,Blue Curly,Black Mouth,Black trapeziod wing  
Magpie,Brow hat,Blue eye&blue eyebrows,Blue punk,Pale gold Palegreen,Yellow rhomboid wing
Swallow,Yellow quadrangle Hat,Jet black eye&long eyebrow,Pink broken,Pale gold Palegreen,Blue  triangle  wing
Magpie,Dark blue headset,Cambridge blue eye&black long eyebrow,Blue punk,Golden big Mouth,Blue rhomboid wing
Swallow,Light cyan necklace,Light cyan eye&pink eyebrow,Blue broken,Golden square Mouth,Agree sector wing
Kingfisher,orange perked cap,Black white eye&long eyebrow,Blue short hair,Golden triangle Mouth,Gray trapeziod wing 
Duck,Violet red polygon Hat,Light cyan eye&pink eyebrow,Deep red Curly,Orange square Mouth,Agree wing
Turkey,Pink necklace,Black white eye&long eyebrow,Red punk,Black Mouth,Red sector wing
Vulture,Colous pentagon glasses,Black eye&long eyebrow,Pink Curly,Gray Mouth,Violet front shape wing
Frigate Bird,Somber triangle glasses,Blue black eye&long eyebrow,Blue Curly,Deep Gray triangle Mouth,Dark Colours wing
Frigate Bird,Pink  trapezoid  Hat,Black eye&Black eyebrow,Red hairdo,Get black triangle Mouth,Yellow trapeziod wing 
Kingfisher,Black white square glasses,Cambridge blue eye&black long eyebrow,Black middle parting,Blue black Mouth,Dark cyan wing 
Woodpecker,White square glasses,Black whiteeye&round eyebrow,Orange middle parting,Golden triangle Mouth,Agree trapeziod wing  
Crow,Deep blue polygon Hat,Light cyan eye&orange eyebrow,Light cyan hair,Black orange long Mouth,Agree rhomboid wing
Vulture,Black triangle glasses,black orange eye&long eyebrow,Yellow Curly,Blue small Mouth,Light cyan front shape wing
Hummingbird,Rainbow round Hat,Light cyan eye&pink eyebrow,Red punk,Deep Blue triangle Mouth,Pink  violet sector wing
Hornbill,Deep orange black round hat,black orange eye&long eyebrow,Red Curly,Golden Mouth,Cyan  tooth profine wing
Thrush,Yellow triangle Hat,Orange eye& eyCambridge blue eyebrow,Blue short hair,Gray big Mouth,Violet rhomboid wing
Thrush,Red black round glasses,Black eye&round eyebrow,Red short hair,Black triangle small Mouth,Colours front shape wing
Chick,Orange black white round Hat,Small black eye&orange  eyebrow,Cyan Curly,Golden Mouth,Red trapeziod wing 
Seagull,Dark blue round Hat,Red eye&black eyebrow,Blue punk,Deep Golden triangle Mouth,Red sector wing
Kingfisher,Orange yellow Hat,Big black eye&black long eyebrow,Yellow braid,Light blue short Mouth,Agree trapeziod wing  
Petrel,Orange square glasses,Black eye&jet black eyebrow,Pink middle parting,Light yellow short Mouth,Khaki front shape wing
Hummingbird,Orange black polygon Hat,Black eye&long eyebrow,Green braid,Blue Naroon,Agree rhomboid wing
Wild Goose,Blue black pentagon glasses,White eye&Black eyebrow,Green crown,Blue small Mouth,Cyan yellow sector wing
Turkey,Deep purplepentagon glasses,Black whiteeye&round eyebrow,Orange short hair,Black yellow long Mouth, Dark violet front shape wing
Chick,Dark black triangle glasses,Big black eye&orange eyebrow,Blue Curly,Blue small Mouth,Violet front shape wing
Wild Goose,Blue trapezoid  Hat,Black purple eye&long eyebrow,Yellow braid,Deep Blue triangle Mouth,Agree sector wing
Pigeon,Pink triangle Hat,Light cyan eye&orange eyebrow,Orange middle parting,Orange triangle Mouth,Black trapeziod wing  
Hummingbird,Dark blue gray polygon Hat,Big black eye&long eyebrow,Above color crown,Golden big Mouth,Blue front shape wing 
Duck,Violet round glasses,Black eye&jet black eyebrow,Red hairdo,Black Mouth,Orange rhomboid wing
Hornbill,Deep orange black round hat,black orange eye&long eyebrow,Red Curly,Golden triangle small Mouth,Orange trapeziod wing 
Frigate Bird,White square glasses,Black eye&rectangle eyebrow,Black short hair,Pale yellow triangle  Mouth,Yellow rhomboid wing
Bullfinch,Orange black square Hat,Black purple eye&long eyebrow,Blue Curly,Pale gold Palegreen,Colours front shape wing
Zebra Finch,Black rectangle glasses,Red eye&black eyebrow,Black short hair,Light yellow short Mouth,Agree trapeziod wing  
Blue Bird,Pink  trapezoid  Hat,White eye&Black eyebrow,Blue punk,Golden triangle Mouth,Iridescence wing
Crow,Dark orange necklace,Black eye&yellow eyebrow,Cyan punk,Orange polygon  Mouth,White black rhomboid wing
Woodpecker,Somber triangle glasses,Black eye&yellow eyebrow,Black short hair,Black yellow long Mouth,Cyan yellow sector wing
